 numFactors,AUC10_max,AUC10_max_numIter,AUC10_mean,AUC10_min,AUC10_min_numIter,AUC40_max,AUC40_max_numIter,AUC40_mean,AUC40_min,AUC40_min_numIter,AUC5_max,AUC5_max_numIter,AUC5_mean,AUC5_min,AUC5_min_numIter,algoName
8,0.522427,171,0.455996916,0.340304,51,0.619669,59,0.504207592,0.422173,187,0.49375,75,0.417490068,0.307749,51,CPTF
8,0.556036,90,0.472357581,0.371701,100,0.59859,27,0.514485052,0.423087,146,0.489734,25,0.413057963,0.297425,117,CAMFC
8,0.514814,120,0.442828293,0.367856,167,0.628787,170,0.575079806,0.506221,159,0.48433,155,0.41916411,0.348238,97,BiasedCPTF
8,0.504571,13,0.443405827,0.380448,58,0.679607,68,0.598091016,0.53064,122,0.496075,24,0.420929717,0.317073,22,BiasedCPTF_v2
9,0.534196,93,0.455988335,0.392295,27,0.598593,83,0.506011953,0.412543,155,0.493371,93,0.418715126,0.330749,108,CPTF
9,0.53941,141,0.470225398,0.387952,136,0.617791,122,0.518566068,0.421289,182,0.499053,189,0.416510429,0.307134,130,CAMFC
9,0.504885,15,0.444277901,0.359534,24,0.652263,108,0.571425068,0.490577,121,0.495614,36,0.418646147,0.318783,29,BiasedCPTF
9,0.505606,119,0.441694079,0.390043,140,0.652853,175,0.596687115,0.522398,174,0.501938,38,0.418467838,0.326389,132,BiasedCPTF_v2
15,0.520686,114,0.459898204,0.38299,113,0.592122,73,0.505036461,0.407928,20,0.513889,134,0.422026518,0.327778,113,CPTF
15,0.577013,43,0.481268953,0.373106,109,0.602862,10,0.504303073,0.407264,34,0.51626,152,0.425758895,0.32581,182,CAMFC
15,0.506521,119,0.443337304,0.37753,42,0.632828,56,0.579098178,0.50694,44,0.495471,125,0.421411869,0.300694,94,BiasedCPTF
15,0.617714,47,0.519434743,0.367693,184,0.723195,104,0.643652162,0.524585,200,0.494097,109,0.421975571,0.332317,66,BiasedCPTF_v2
20,0.529848,154,0.453457031,0.347307,133,0.592295,198,0.507828435,0.414437,12,0.497863,17,0.416118555,0.334402,73,CPTF
20,0.570215,158,0.489411387,0.401365,179,0.613917,94,0.50828234,0.411425,178,0.517361,129,0.430203728,0.342818,154,CAMFC
20,0.500873,96,0.443323895,0.380173,111,0.658419,98,0.574044503,0.482838,179,0.487466,33,0.421501063,0.328488,28,BiasedCPTF
20,0.506848,24,0.442450419,0.364688,105,0.677226,124,0.58794045,0.505309,15,0.500302,73,0.417474634,0.342487,45,BiasedCPTF_v2
