 numFactors,MRR10_max,MRR10_max_numIter,MRR10_mean,MRR10_min,MRR10_min_numIter,MRR40_max,MRR40_max_numIter,MRR40_mean,MRR40_min,MRR40_min_numIter,MRR5_max,MRR5_max_numIter,MRR5_mean,MRR5_min,MRR5_min_numIter,algoName
8,0.284782,144,0.200700848,0.127053,189,0.309312,144,0.227040686,0.155741,74,0.265903,144,0.176601859,0.098227,189,CPTF
8,0.346022,84,0.225393571,0.154703,126,0.364268,84,0.249946257,0.179532,72,0.328794,84,0.203691864,0.117551,72,CAMFC
8,0.314425,171,0.234807183,0.159916,159,0.329819,171,0.256769916,0.183161,159,0.286597,171,0.201941628,0.123966,167,BiasedCPTF
8,0.320326,98,0.238278152,0.177973,86,0.340557,98,0.260965424,0.206136,86,0.292431,98,0.205151131,0.142683,152,BiasedCPTF_v2
9,0.322924,83,0.202267403,0.118377,11,0.340637,83,0.228409801,0.151874,11,0.292276,83,0.178433225,0.095503,11,CPTF
9,0.356318,36,0.226011309,0.144903,195,0.374771,36,0.24998611,0.174994,77,0.341736,36,0.202844361,0.11087,77,CAMFC
9,0.324558,36,0.238089309,0.179344,58,0.342478,36,0.260021257,0.204533,98,0.291301,36,0.206226817,0.142551,98,BiasedCPTF
9,0.324777,118,0.238745628,0.168499,196,0.340935,118,0.261131785,0.194982,47,0.292593,175,0.205585194,0.135347,47,BiasedCPTF_v2
15,0.278747,119,0.198388,0.125744,17,0.304057,119,0.224964796,0.157975,17,0.257432,119,0.174551246,0.107749,20,CPTF
15,0.375885,43,0.232775188,0.131802,156,0.395084,43,0.257280497,0.162022,156,0.365598,43,0.211491382,0.101829,156,CAMFC
15,0.331821,177,0.238499513,0.165607,151,0.346804,177,0.260099874,0.191371,151,0.302507,119,0.205044738,0.133862,151,BiasedCPTF
15,0.457161,14,0.338938539,0.19537,200,0.470315,14,0.355851262,0.218922,200,0.444851,14,0.315605262,0.155679,200,BiasedCPTF_v2
20,0.299947,183,0.19775567,0.097071,12,0.317727,183,0.224241304,0.129437,12,0.277778,183,0.17353411,0.072158,12,CPTF
20,0.387214,152,0.244429246,0.154416,179,0.4045,152,0.268781131,0.182288,179,0.371341,152,0.224414764,0.128283,179,CAMFC
20,0.307414,193,0.238001869,0.175063,140,0.327854,177,0.259807728,0.199264,81,0.279034,177,0.204729194,0.135732,81,BiasedCPTF
20,0.318807,74,0.239714162,0.165421,15,0.335793,74,0.262003812,0.191026,15,0.287942,74,0.206925602,0.132995,126,BiasedCPTF_v2
