 numFactors,Pre10_max,Pre10_max_numIter,Pre10_mean,Pre10_min,Pre10_min_numIter,Pre40_max,Pre40_max_numIter,Pre40_mean,Pre40_min,Pre40_min_numIter,Pre5_max,Pre5_max_numIter,Pre5_mean,Pre5_min,Pre5_min_numIter,algoName
8,0.116239,61,0.092001581,0.0575,75,0.064693,51,0.052518791,0.044074,37,0.144167,144,0.103517901,0.069167,75,CPTF
8,0.127236,84,0.095972581,0.07,170,0.062829,21,0.052560356,0.044444,34,0.166667,175,0.114230738,0.075833,100,CAMFC
8,0.132895,175,0.10549301,0.077778,144,0.06,26,0.052195398,0.043085,112,0.145299,153,0.112234079,0.087879,83,BiasedCPTF
8,0.131395,157,0.107585634,0.080769,158,0.061645,163,0.05264289,0.045922,65,0.146512,157,0.113338911,0.088034,86,BiasedCPTF_v2
9,0.121545,83,0.092420644,0.070238,46,0.061184,33,0.052496984,0.044413,91,0.132432,164,0.103661272,0.073016,11,CPTF
9,0.131707,83,0.097082079,0.073256,12,0.062202,178,0.052453534,0.044864,141,0.156818,72,0.113344827,0.08254,155,CAMFC
9,0.143411,22,0.106089639,0.082171,151,0.063355,200,0.052689639,0.044326,73,0.153488,115,0.113655168,0.088148,60,BiasedCPTF
9,0.141905,101,0.107915843,0.078632,88,0.065595,101,0.052645366,0.04502,53,0.147619,118,0.113710524,0.086047,17,BiasedCPTF_v2
15,0.120614,73,0.090931408,0.071667,157,0.062897,21,0.052026686,0.044074,46,0.134959,89,0.102711555,0.072807,20,CPTF
15,0.126984,124,0.095229885,0.06875,12,0.061458,178,0.052505691,0.044544,72,0.16746,124,0.114230937,0.076423,156,CAMFC
15,0.132018,189,0.106287827,0.079268,26,0.061562,147,0.052050084,0.045068,161,0.14359,107,0.112821681,0.088095,148,BiasedCPTF
15,0.155263,38,0.125936476,0.088148,179,0.060791,148,0.052665937,0.045556,127,0.219841,129,0.159429586,0.085926,200,BiasedCPTF_v2
20,0.122523,133,0.09165623,0.065116,37,0.065991,133,0.052554508,0.045337,56,0.147009,183,0.102782283,0.066667,12,CPTF
20,0.127143,61,0.094322838,0.069697,147,0.060985,167,0.05226366,0.043297,32,0.160163,152,0.116855822,0.082609,32,CAMFC
20,0.127132,79,0.105731545,0.079457,29,0.061077,197,0.052383403,0.043411,54,0.139316,39,0.112569838,0.086508,31,BiasedCPTF
20,0.137037,71,0.108063963,0.084848,100,0.06128,137,0.052783969,0.045109,162,0.14955,109,0.114737623,0.086364,189,BiasedCPTF_v2
