 numFactors,Rec10_max,Rec10_max_numIter,Rec10_mean,Rec10_min,Rec10_min_numIter,Rec40_max,Rec40_max_numIter,Rec40_mean,Rec40_min,Rec40_min_numIter,Rec5_max,Rec5_max_numIter,Rec5_mean,Rec5_min,Rec5_min_numIter,algoName
8,0.524272,59,0.343736979,0.227854,90,1,10,1,1,10,0.321632,171,0.187727052,0.093281,64,CPTF
8,0.534079,27,0.368937335,0.21562,137,1,10,1,1,10,0.387507,175,0.217465927,0.091458,100,CAMFC
8,0.564712,170,0.439142393,0.336116,164,1,10,1,1,10,0.336545,153,0.219991942,0.132229,65,BiasedCPTF
8,0.590888,68,0.442761696,0.335924,122,1,10,1,1,10,0.349574,191,0.221428586,0.145317,134,BiasedCPTF_v2
9,0.492276,83,0.346955524,0.218122,11,1,10,1,1,10,0.286087,53,0.18984022,0.088366,11,CPTF
9,0.532822,122,0.380636843,0.216233,182,1,10,1,1,10,0.341828,72,0.217154204,0.122695,73,CAMFC
9,0.577095,108,0.433493864,0.327339,185,1,10,1,1,10,0.362154,115,0.22017478,0.140788,141,BiasedCPTF
9,0.542992,28,0.447190508,0.299129,196,1,10,1,1,10,0.328643,175,0.224026445,0.131971,186,BiasedCPTF_v2
15,0.510917,93,0.344740377,0.221688,17,1,10,1,1,10,0.310724,55,0.190927016,0.101932,17,CPTF
15,0.505291,124,0.364340199,0.240217,176,1,10,1,1,10,0.368651,124,0.217003366,0.097045,156,CAMFC
15,0.577846,168,0.448849984,0.312066,26,1,10,1,1,10,0.316711,109,0.224979471,0.144309,101,BiasedCPTF
15,0.708094,104,0.543214848,0.347443,156,1,10,1,1,10,0.506771,83,0.352170963,0.147038,200,BiasedCPTF_v2
20,0.480533,184,0.345944262,0.19704,15,1,10,1,1,10,0.315052,159,0.189695293,0.072997,12,CPTF
20,0.511072,94,0.367435377,0.226667,30,1,10,1,1,10,0.349593,26,0.228034885,0.127616,30,CAMFC
20,0.562661,79,0.439838482,0.324306,140,1,10,1,1,10,0.332953,39,0.218822152,0.121378,167,BiasedCPTF
20,0.584861,124,0.442323183,0.343793,111,1,10,1,1,10,0.330005,24,0.220871204,0.137404,35,BiasedCPTF_v2
,,,,,,,,,,,,,,,,
